id,blip_captions
513,there are two people in a pool playing with a boat
514,there are two people in a pool playing with a boat
515,several people in a raft on a river with a bull
516,several people in a raft on a river with a bull
517,several people in a raft on a river with a bull
518,several people in a raft on a river with a bull
519,several people in a raft on a river with a bull
520,there is a pink strawberry with a green leaf on it next to a cell phone
521,there is a pink strawberry with a green leaf on it next to a cell phone
522,there is a pink strawberry with a green leaf on it next to a cell phone
523,there is a pink strawberry with a green leaf on it next to a cell phone
524,there is a pink strawberry with a green leaf on it next to a cell phone
525,there is a pink strawberry with a green leaf on it next to a cell phone
526,there is a cell phone in a plastic bag with a charger
527,there is a cell phone in a plastic bag with a charger
528,there is a cell phone in a plastic bag with a charger
529,there is a cell phone in a plastic bag with a charger
530,there is a cell phone in a plastic bag with a charger
531,there is a cell phone in a plastic bag with a charger
532,there is a cell phone that is sitting on a table
533,there is a cell phone that is sitting on a table
534,there is a cell phone that is sitting on a table
535,there is a cell phone that is sitting on a table
536,there is a cell phone that is sitting on a table
537,there is a cell phone that is sitting on a table
538,there is a baby that is holding a remote in its mouth
539,there is a baby that is holding a remote in its mouth
540,there is a baby that is holding a remote in its mouth
541,there is a baby that is holding a remote in its mouth
542,there is a baby that is holding a remote in its mouth
543,there is a baby that is holding a remote in its mouth
544,a close up of a cell phone with a hello kitty design on the screen
545,a close up of a cell phone with a hello kitty design on the screen
546,a close up of a cell phone with a hello kitty design on the screen
547,a close up of a cell phone with a hello kitty design on the screen
548,a close up of a cell phone with a hello kitty design on the screen
549,a close up of a cell phone with a hello kitty design on the screen
550,there is a remote control on a table next to a bed
551,there is a remote control on a table next to a bed
552,there is a remote control on a table next to a bed
553,there is a remote control on a table next to a bed
554,there is a remote control on a table next to a bed
555,there is a remote control on a table next to a bed
556,there is a man holding a cell phone up to his ear
557,there is a man holding a cell phone up to his ear
558,there is a man holding a cell phone up to his ear
559,there is a man holding a cell phone up to his ear
560,there is a man holding a cell phone up to his ear
561,there is a man holding a cell phone up to his ear
562,araffe man with green hair and a green mohawk on his head
563,araffe man with green hair and a green mohawk on his head
564,araffe man with green hair and a green mohawk on his head
565,araffe man with green hair and a green mohawk on his head
566,araffe man with green hair and a green mohawk on his head
567,araffe man with green hair and a green mohawk on his head
568,a close up of a cell phone with a black and white cover
569,a close up of a cell phone with a black and white cover
570,a close up of a cell phone with a black and white cover
571,a close up of a cell phone with a black and white cover
572,a close up of a cell phone with a black and white cover
573,a close up of a cell phone with a black and white cover
574,arafed woman holding a cell phone in front of her face
575,arafed woman holding a cell phone in front of her face
576,arafed woman holding a cell phone in front of her face
577,arafed woman holding a cell phone in front of her face
578,arafed woman holding a cell phone in front of her face
579,arafed woman holding a cell phone in front of her face
580,they are two people hugging each other while looking at a cell phone
581,they are two people hugging each other while looking at a cell phone
582,they are two people hugging each other while looking at a cell phone
583,they are two people hugging each other while looking at a cell phone
584,they are two people hugging each other while looking at a cell phone
585,they are two people hugging each other while looking at a cell phone
586,there is a cell phone that is sitting on a table
587,there is a cell phone that is sitting on a table
588,there is a cell phone that is sitting on a table
589,there is a cell phone that is sitting on a table
590,there is a cell phone that is sitting on a table
591,there is a cell phone that is sitting on a table
592,there is a ceramic mug with an apple painted on it
593,there is a ceramic mug with an apple painted on it
594,there is a ceramic mug with an apple painted on it
595,there is a ceramic mug with an apple painted on it
596,there is a ceramic mug with an apple painted on it
597,there is a ceramic mug with an apple painted on it
598,a close up of a coffee cup with a face painted on it
599,a close up of a coffee cup with a face painted on it
600,a close up of a coffee cup with a face painted on it
601,a close up of a coffee cup with a face painted on it
602,a close up of a coffee cup with a face painted on it
603,a close up of a coffee cup with a face painted on it
604,there is a coffee cup with a lighthouse on it on a counter
605,there is a coffee cup with a lighthouse on it on a counter
606,there is a coffee cup with a lighthouse on it on a counter
607,there is a coffee cup with a lighthouse on it on a counter
608,there is a coffee cup with a lighthouse on it on a counter
609,there is a coffee cup with a lighthouse on it on a counter
610,there is a stainless steel mug with a cartoon owl on it
611,there is a stainless steel mug with a cartoon owl on it
612,there is a stainless steel mug with a cartoon owl on it
613,there is a stainless steel mug with a cartoon owl on it
614,there is a stainless steel mug with a cartoon owl on it
615,there is a stainless steel mug with a cartoon owl on it
616,there is a yellow coffee cup sitting on a table next to a stack of books
617,there is a yellow coffee cup sitting on a table next to a stack of books
618,there is a yellow coffee cup sitting on a table next to a stack of books
619,there is a yellow coffee cup sitting on a table next to a stack of books
620,there is a yellow coffee cup sitting on a table next to a stack of books
621,there is a yellow coffee cup sitting on a table next to a stack of books
622,someone holding a beer mug with a drawing on it
623,someone holding a beer mug with a drawing on it
624,someone holding a beer mug with a drawing on it
625,someone holding a beer mug with a drawing on it
626,someone holding a beer mug with a drawing on it
627,someone holding a beer mug with a drawing on it
628,blond woman in glasses holding a wii remote in her hand
629,blond woman in glasses holding a wii remote in her hand
630,blond woman in glasses holding a wii remote in her hand
631,blond woman in glasses holding a wii remote in her hand
632,blond woman in glasses holding a wii remote in her hand
633,blond woman in glasses holding a wii remote in her hand
634,arafed mugs with a logo on them are sitting on a shelf
635,arafed mugs with a logo on them are sitting on a shelf
636,arafed mugs with a logo on them are sitting on a shelf
637,arafed mugs with a logo on them are sitting on a shelf
638,arafed mugs with a logo on them are sitting on a shelf
639,arafed mugs with a logo on them are sitting on a shelf
640,arafed white volkswagen beetle convertible parked in front of a parking garage
641,arafed white volkswagen beetle convertible parked in front of a parking garage
642,arafed white volkswagen beetle convertible parked in front of a parking garage
643,arafed white volkswagen beetle convertible parked in front of a parking garage
644,arafed white volkswagen beetle convertible parked in front of a parking garage
645,arafed white volkswagen beetle convertible parked in front of a parking garage
646,there is a blue car parked on the side of the road
647,there is a blue car parked on the side of the road
648,there is a blue car parked on the side of the road
649,there is a blue car parked on the side of the road
650,there is a blue car parked on the side of the road
651,there is a blue car parked on the side of the road
652,arafed red car parked in a grassy field with trees in the background
653,arafed red car parked in a grassy field with trees in the background
654,arafed red car parked in a grassy field with trees in the background
655,arafed red car parked in a grassy field with trees in the background
656,arafed red car parked in a grassy field with trees in the background
657,arafed red car parked in a grassy field with trees in the background
658,there is a red car parked in a parking lot with a tree in the background
659,there is a red car parked in a parking lot with a tree in the background
660,there is a red car parked in a parking lot with a tree in the background
661,there is a red car parked in a parking lot with a tree in the background
662,there is a red car parked in a parking lot with a tree in the background
663,there is a red car parked in a parking lot with a tree in the background
664,there are many classic cars parked in a field of grass
665,there are many classic cars parked in a field of grass
666,there are many classic cars parked in a field of grass
667,there are many classic cars parked in a field of grass
668,there are many classic cars parked in a field of grass
669,there are many classic cars parked in a field of grass
670,arafed white convertible car parked on grass near the ocean
671,arafed white convertible car parked on grass near the ocean
672,arafed white convertible car parked on grass near the ocean
673,arafed white convertible car parked on grass near the ocean
674,arafed white convertible car parked on grass near the ocean
675,arafed white convertible car parked on grass near the ocean
676,arafed orange sports car on display at a car show
677,arafed orange sports car on display at a car show
678,arafed orange sports car on display at a car show
679,arafed orange sports car on display at a car show
680,arafed orange sports car on display at a car show
681,arafed orange sports car on display at a car show
682,a close up of a black and silver case with a blue logo
